Location,Kingdom,Phylum,Class,Order,Family,Genus,Species
MH Harbour Seagrass Medow,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,67-14,67-14
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,AB1,AB1,AB1
MH Harbour Seagrass Medow,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales_(SR1),Absconditabacteriales_(SR1),Absconditabacteriales_(SR1),Absconditabacteriales_(SR1)
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter
MH Harbour Seagrass Medow,Bacteria,Actinobacteriota,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria
MH Harbour Seagrass Medow,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinales,Actinomarinales,Actinomarinales
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Eudoraea,adriatica
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,AEGEAN-169_marine_group,AEGEAN-169_marine_group
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola,aestuariivivens
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Algibacter,Algibacter
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Algimonas,Algimonas
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquimarina,algiphila
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Aliiroseovarius,Aliiroseovarius
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,Aliivibrio
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,Allofrancisella,Allofrancisella
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,Altererythrobacter
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas
MH Harbour Seagrass Medow,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolineaceae,Anaerolineaceae
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Anderseniella,Anderseniella
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,Aquibacter
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,aquimaris
MH Harbour Seagrass Medow,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacteraceae,Arcobacteraceae
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Arcticiflavibacter,Arcticiflavibacter
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicella,Arenicella
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicellaceae,Arenicellaceae
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Marimicrobium,arenosum
MH Harbour Seagrass Medow,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,atlanticus
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aurantivirga,Aurantivirga
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,Aureispira
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,B2M28,B2M28,B2M28
MH Harbour Seagrass Medow,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidales,Bacteroidales,Bacteroidales
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,Bacteroidetes_BD2-2,Bacteroidetes_BD2-2
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Bacteroidetes_VC2.1_Bac22,Bacteroidetes_VC2.1_Bac22,Bacteroidetes_VC2.1_Bac22,Bacteroidetes_VC2.1_Bac22
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Bacteroidia,Bacteroidia,Bacteroidia,Bacteroidia
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hellea,balneolensis
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1-7_clade,BD1-7_clade
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,Bernardetia,Bernardetia
MH Harbour Seagrass Medow,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,Blastopirellula
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,brevis
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Caedibacterales,Caedibacteraceae,Caedibacteraceae,Caedibacteraceae
MH Harbour Seagrass Medow,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,Candidatus_Actinomarina
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus_Amoebophilus,Candidatus_Amoebophilus
MH Harbour Seagrass Medow,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Candidatus_Electrothrix,Candidatus_Electrothrix
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Candidatus_Endobugula,Candidatus_Endobugula
MH Harbour Seagrass Medow,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,Candidatus_Fritschea,Candidatus_Fritschea
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus_Megaira,Candidatus_Megaira
MH Harbour Seagrass Medow,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopelagicus,Candidatus_Nitrosopelagicus
MH Harbour Seagrass Medow,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,Candidatus_Nitrosopumilus
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,Candidatus_Puniceispirillum,Candidatus_Puniceispirillum
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Candidatus_Thiobios,Candidatus_Thiobios
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Candidatus_Thiosymbion,Candidatus_Thiosymbion
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter,Celeribacter
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrionaceae,Cellvibrionaceae
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagales,Chitinophagales,Chitinophagales
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,Clade_Ia
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,Clade_II,Clade_II
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Litorimonas,cladophorae
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Granulosicoccales,Granulosicoccaceae,Granulosicoccus,coccoides
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Cocleimonas,Cocleimonas
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwelliaceae,Colwelliaceae
MH Harbour Seagrass Medow,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Croceitalea,Croceitalea
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomicaceae,Crocinitomicaceae
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,Crocinitomix
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Cryomorphaceae,Cryomorphaceae
MH Harbour Seagrass Medow,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Cyclobacteriaceae,Cyclobacteriaceae
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagales,Cytophagales,Cytophagales
MH Harbour Seagrass Medow,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,Dadabacteriales,Dadabacteriales,Dadabacteriales
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Psychroserpens,damuponensis
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Dasania,Dasania
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia
MH Harbour Seagrass Medow,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglandales,Desulfatiglandaceae,Desulfatiglans,Desulfatiglans
MH Harbour Seagrass Medow,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbaceae,Desulfobulbaceae
MH Harbour Seagrass Medow,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,Desulfobulbus
MH Harbour Seagrass Medow,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Desulfocapsaceae,Desulfocapsaceae
MH Harbour Seagrass Medow,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Desulforhopalus,Desulforhopalus
MH Harbour Seagrass Medow,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Desulfosarcina,Desulfosarcina
MH Harbour Seagrass Medow,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Desulfosarcinaceae,Desulfosarcinaceae
MH Harbour Seagrass Medow,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,DEV007,DEV007
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Dokdonia,Dokdonia
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter,Dyadobacter
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,EC3,EC3,EC3,EC3
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,echinorum
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,endosymbionts,endosymbionts
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,Erythrobacter
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,eximia
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Filomicrobium,Filomicrobium
MH Harbour Seagrass Medow,Bacteria,Firmicutes,Firmicutes,Firmicutes,Firmicutes,Firmicutes,Firmicutes
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Flammeovirgaceae,Flammeovirgaceae,Flammeovirgaceae
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Dokdonia,flava
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,flavimaris
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae,Flavobacteriaceae
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriales,Flavobacteriales,Flavobacteriales
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Fluviicola
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Formosa,Formosa
MH Harbour Seagrass Medow,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Fuerstia,Fuerstia
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Gaetbulibacter,Gaetbulibacter
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Glaciecola,Glaciecola
MH Harbour Seagrass Medow,Bacteria,Patescibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Granulosicoccales,Granulosicoccaceae,Granulosicoccus,Granulosicoccus
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halieaceae,Halieaceae
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halioglobus,Halioglobus
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,HOC36,HOC36,HOC36
MH Harbour Seagrass Medow,Bacteria,Firmicutes,Clostridia,Clostridia_or,Hungateiclostridiaceae,Hungateiclostridiaceae,Hungateiclostridiaceae
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonadaceae,Hyphomonadaceae
MH Harbour Seagrass Medow,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter,Ilumatobacter
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Jannaschia,Jannaschia
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Kordia,jejudonensis
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Jejudonia,Jejudonia
MH Harbour Seagrass Medow,Bacteria,Patescibacteria,Gracilibacteria,JGI_0000069-P22,JGI_0000069-P22,JGI_0000069-P22,JGI_0000069-P22
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Kangiellaceae,Kangiellaceae,Kangiellaceae
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,KD3-93,KD3-93,KD3-93
MH Harbour Seagrass Medow,Bacteria,Chloroflexi,KD4-96,KD4-96,KD4-96,KD4-96,KD4-96
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A_clade,KI89A_clade,KI89A_clade,KI89A_clade
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Kordia,Kordia
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Lamprocystis,Lamprocystis
MH Harbour Seagrass Medow,Bacteria,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota
MH Harbour Seagrass Medow,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,LCP-80,LCP-80
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Lentilitoribacter,Lentilitoribacter
MH Harbour Seagrass Medow,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Lentimonas,Lentimonas
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Leucothrix,Leucothrix
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,Limnohabitans
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,litoralis
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,Bernardetia,litoralis
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Marinicella,litoralis
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Litoreibacter,Litoreibacter
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Litorimonas,Litorimonas
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Luminiphilus,Luminiphilus
MH Harbour Seagrass Medow,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,Luteolibacter
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutibacter,Lutibacter
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,Lutimonas
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Maricurvus,Maricurvus
