Domain,Kingdom,Subkingdom,Phylum,Class,Order,SubOrder,Genus,Species
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthales,Achnanthales,Achnanthales
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthales,Cocconeis,Cocconeis
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthales,Achnanthidium,Achnanthidium
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthales,Pauliella,Pauliella_taeniata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthales,Planothidium,Planothidium
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Asterolamprales,Asterolamprales,Asteromphalus,Asteromphalus_sp.
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Cylindrotheca,Cylindrotheca_closterium
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_dubiiformis
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_recta
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Bacillariales,Bacillariales
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_sigmoidea
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Cylindrotheca,Cylindrotheca
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Cylindrotheca,Cylindrotheca_sp.
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_volvendirostrata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_laevis
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Tryblionella,Tryblionella_gaoana
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_spathulata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_promare
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_nanodissipata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_dubia
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_sp.
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_traheaformis
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_capitellata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_adhaerens
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Tryblionella,Tryblionella_apiculata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_draveillensis
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_sigma
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyta,Bacillariophyta,Bacillariophyta,Bacillariophyta,Bacillariophyta
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotales,Chaetoceros,Chaetoceros
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotales,Chaetoceros,Chaetoceros_debilis
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotales,Chaetoceros,Chaetoceros_diadema
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotales,Chaetoceros,Chaetoceros_contortus
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotales,Chaetoceros,Chaetoceros_lorenzianus
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotales,Attheya,Attheya_decora
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscales,Coscinodiscus,Coscinodiscus_radiatus
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscales,Aulacodiscus,Aulacodiscus_oreganus
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscales,Coscinodiscus,Coscinodiscus_granii
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscophyceae,Coscinodiscophyceae,Coscinodiscophyceae,Coscinodiscophyceae
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosirales,Extubocellulus,Extubocellulus_spinifer
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosirales,Extubocellulus,Extubocellulus_cribriger
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellales,Cymbellales,Cymbellales
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellales,Gomphonemopsis,Gomphonemopsis_pseudoexigua
Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Tabularia,Tabularia_tabulata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Gedaniella,Gedaniella_panicellus
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Gedaniella,Gedaniella
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Fragilariales,Fragilariales
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Staurosira,Staurosira_construens
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Serratifera,Serratifera
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Gedaniella,Gedaniella_boltonii
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Tabularia,Tabularia
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Serratifera,Serratifera_andersonii
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Nanofrustulum,Nanofrustulum_shiloi
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariophyceae,Fragilariophyceae,Fragilariophyceae,Fragilariophyceae
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulales,Cerataulina,Cerataulina_pelagica
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Leptocylindrales,Leptocylindrales,Leptocylindrus,Leptocylindrus_danicus
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Licmophorales,Licmophorales,Licmophora,Licmophora_paradoxa
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Licmophorales,Licmophorales,Licmophora,Licmophora
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Licmophorales,Licmophorales,Licmophora,Licmophora_sp.
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Lyrellales,Lyrellales,Lyrella,Lyrella_hennedyi
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Mediophyceae,Mediophyceae,Mediophyceae,Mediophyceae
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosirales,Hyalodiscus,Hyalodiscus_sp.
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosirales,Hyalodiscus,Hyalodiscus_scoticus
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_kongfjordensis
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_rhynchocephala_var._hankensis
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_perminuta
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Pseudogomphonema,Pseudogomphonema_kamschaticum
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_avium
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Naviculales,Naviculales
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Pleurosigma,Pleurosigma_sp.
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Parlibellus,Parlibellus_delognei_f._ellipticus
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Haslea,Haslea
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_pseudacceptata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Haslea,Haslea_howeana
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Seminavis,Seminavis_sp.
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Pleurosigma,Pleurosigma
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_sp.
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Berkeleya,Berkeleya
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_ramosissima
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_glaciei
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_hippodontafallax
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Trachyneis,Trachyneis_sp.
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Seminavis,Seminavis_robusta
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Diploneis,Diploneis
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Parlibellus,Parlibellus_hamulifer
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_cari
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Berkeleya,Berkeleya_fennica
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Fallacia,Fallacia
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Proschkinia,Proschkinia_complanatula
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Parlibellus,Parlibellus_protracta
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_rhynchotella
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_slesvicensis
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Caloneis,Caloneis_sp.
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Sternimirus,Sternimirus_shandongensis
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_reinhardtii
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Fallacia,Fallacia_forcipata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Parlibellus,Parlibellus
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Haslea,Haslea_pseudostrearia
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Gyrosigma,Gyrosigma_limosum
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Pinnularia,Pinnularia
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_agatkae
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Rhoikoneis,Rhoikoneis_pagoensis
Eukaryota,Sar,Stramenopiles,Ochrophyta,Ochrophyta,Ochrophyta,Ochrophyta,Ochrophyta,Ochrophyta
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Paraliales,Paraliales,Ellerbeckia,Ellerbeckia_sp.
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniales,Guinardia,Guinardia_delicatula
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniales,Rhizosolenia,Rhizosolenia_setigera
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_sulcata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_lineolata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_abludens
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Halamphora,Halamphora
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_sublaevis
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Thalassiophysales,Thalassiophysales
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_helenensis
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_vixvisibilis
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_beaufortiana
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosirales,Thalassiosirales
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Minidiscus,Minidiscus_trioculatus
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_nordenskioeldii
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Skeletonema,Skeletonema_costatum
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_rotula
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_angulata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_eccentrica
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_anguste-lineata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_minima
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_pacifica
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Detonula,Detonula_pumila
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_profunda
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_punctigera
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Lauderia,Lauderia_annulata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_oceanica
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_antarctica
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_spinulifera
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_gravida
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Cyclotella,Cyclotella_stylorum
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Shionodiscus,Shionodiscus_ritscheri
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Cyclotella,Cyclotella_choctawhatcheeana
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_minuscula
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Triceratiales,Triceratiales,Odontella,Odontella_aurita
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Triceratiales,Triceratiales,Odontella,Odontella_longicruris
