Domain,Phylum,Class,Order,Family,Genus,Species
Eukaryota,Choanoflagellida,Acanthoecida,Acanthoecidae,Acanthoecidae_fa,FV23-1A4,FV23-1A4
Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Anthoathecata,Anthoathecata,Anthoathecata
Eukaryota,Arthropoda,Arachnida,Arachnida,Arachnida,Arachnida,Arachnida
Eukaryota,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Achnanthidium,Achnanthidium
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Amphora,Amphora
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Arcocellulus,Arcocellulus
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillaria,Bacillaria
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophytina,Bacillariophytina,Bacillariophytina
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Chaetoceros,Chaetoceros
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Cylindrotheca,Cylindrotheca
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Discostella,Discostella
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Fistulifera,Fistulifera
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Gyrosigma,Gyrosigma
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Haslea,Haslea
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Mediophyceae,Mediophyceae
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Navicula,Navicula
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,Nitzschia
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Odontella,Odontella
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Phaeodactylum,Phaeodactylum
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Pinnularia,Pinnularia
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Placoneis,Placoneis
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Pleurosigma,Pleurosigma
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Porosira,Porosira
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Skeletonema,Skeletonema
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Stauroneis,Stauroneis
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Thalassiosira,Thalassiosira
Eukaryota,Mollusca,Gastropoda,Caenogastropoda,Caenogastropoda,Caenogastropoda,Caenogastropoda
Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium
Eukaryota,Cercozoa,Cercozoa,Cercozoa,Cercozoa,Cercozoa,Cercozoa
Eukaryota,Ochrophyta,Raphidophyceae,Chattonellales,Chattonellales_fa,Heterosigma,Heterosigma
Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_fa,Chlamydomonas,Chlamydomonas
Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_fa,Microglena,Microglena
Eukaryota,Chlorophyta_ph,Ulvophyceae,Chlorocystidales,Chlorocystidales_fa,Desmochloris,Desmochloris
Eukaryota,Nematoda,Chromadorea,Chromadorida,Chromadorida,Chromadorida,Chromadorida
Eukaryota,Ochrophyta,Chrysophyceae,Chromulinales,Chromulinales_fa,Pedospumella,Pedospumella
Eukaryota,Ochrophyta,Chrysophyceae,Chromulinales,Chromulinales_fa,Spumella,Spumella
Eukaryota,Chytridiomycota,Incertae_Sedis,Chytridiales,Chytridiaceae,Chytridium,Chytridium
Eukaryota,Ciliophora,Ciliophora,Ciliophora,Ciliophora,Ciliophora,Ciliophora
Eukaryota,Chlorophyta_ph,Ulvophyceae,Cladophorales,Cladophorales_fa,Cladophora,Cladophora
Eukaryota,Chlorophyta_ph,Ulvophyceae,Cladophorales,Cladophorales_fa,Rhizoclonium,Rhizoclonium
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Brooklynella,Brooklynella
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Conthreep,Conthreep,Conthreep
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Cothurnia,Cothurnia
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Dysteria,Dysteria
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Ephelota,Ephelota
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Phyllopharyngea,Phyllopharyngea
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Zoothamnium,Zoothamnium
Eukaryota,Tunicata,Appendicularia,Copelata,Oikopleuridae,Oikopleuridae,Oikopleuridae
Eukaryota,Florideophycidae,Corallinophycidae,Corallinophycidae_or,Corallinophycidae_fa,Mesophyllum,Mesophyllum
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Coscinodiscophytina,Coscinodiscophytina,Coscinodiscophytina
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Fragilariales,Fragilariales
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Grammonema,Grammonema
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Melosirids,Hyalodiscus,Hyalodiscus
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,Licmophora
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Melosirids,Melosira,Melosira
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Melosirids,Melosirids,Melosirids
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Rhabdonema,Rhabdonema
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Melosirids,Stephanopyxis,Stephanopyxis
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Tabularia,Tabularia
Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Rhizaspididae,Rhogostoma,Rhogostoma
Eukaryota,Phragmoplastophyta,Embryophyta,Cupressales,Cupressales_fa,Taiwania,Taiwania
Eukaryota,Arthropoda,Maxillopoda,Cyclopoida,Cyclopoida,Cyclopoida,Cyclopoida
Eukaryota,Ochrophyta,Diatomea,Diatomea,Diatomea,Diatomea,Diatomea
Eukaryota,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotales_fa,Dictyotales_fa,Dictyotales_fa
Eukaryota,Dinoflagellata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Dinoflagellata
Eukaryota,Dinoflagellata,Dinophyceae,Dinophyceae,Dinophyceae,Dinophyceae,Dinophyceae
Eukaryota,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium
Eukaryota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideomycetes,Dothideomycetes,Dothideomycetes
Eukaryota,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpales,Ectocarpales,Ectocarpales
Eukaryota,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpales_fa,Ectocarpales_fa,Ectocarpales_fa
Eukaryota,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpales_fa,Halothrix,Halothrix
Eukaryota,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpales_fa,Heribaudiella,Heribaudiella
Eukaryota,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpales_fa,Pylaiella,Pylaiella
Eukaryota,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpales_fa,Scytosiphon,Scytosiphon
Eukaryota,Phragmoplastophyta,Embryophyta,Embryophyta,Embryophyta,Embryophyta,Embryophyta
Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium
Eukaryota,Rotifera,Monogononta,Flosculariacea,Flosculariacea,Flosculariacea,Flosculariacea
Eukaryota,Ochrophyta,Phaeophyceae,Fucales,Fucales_fa,Fucus,Fucus
Eukaryota,Gracilipodida,Gracilipodida_cl,Gracilipodida_or,Gracilipodida_fa,Flamella,Flamella
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Suessiaceae,Biecheleria,Biecheleria
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodiniphycidae,Gymnodiniphycidae,Gymnodiniphycidae
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodinium_clade,Gymnodinium_clade,Gymnodinium_clade
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodiniphycidae_fa,Gyrodinium,Gyrodinium
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Suessiaceae,Pelagodinium,Pelagodinium
Eukaryota,Arthropoda,Maxillopoda,Harpacticoida,Harpacticoida,Harpacticoida,Harpacticoida
Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Sclerotinia,Sclerotinia
Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Incertae_Sedis,Tetracladium,Tetracladium
Eukaryota,Echinodermata,Holothuroidea,Holothuroidea,Holothuroidea,Holothuroidea,Holothuroidea
Eukaryota,Ichthyosporea,Ichthyosporea,Ichthyosporea,Ichthyosporea,Ichthyosporea,Ichthyosporea
Eukaryota,Ascomycota,Dothideomycetes,Incertae_Sedis,Incertae_Sedis,Cryomyces,Cryomyces
Eukaryota,Chytridiomycota,Incertae_Sedis,Incertae_Sedis,Incertae_Sedis,Incertae_Sedis,Incertae_Sedis
Eukaryota,Chlorophyta_ph,Trebouxiophyceae,Incertae_Sedis,Incertae_Sedis_fa,Picochlorum,Picochlorum
Eukaryota,Incertae_Sedis_ph,Incertae_Sedis_cl,Incertae_Sedis_or,Incertae_Sedis_fa,Telonema,Telonema
Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata,Intramacronucleata,Intramacronucleata,Intramacronucleata
Eukaryota,Kathablepharidae,Kathablepharidae_cl,Kathablepharidae_or,Kathablepharidae_fa,Leucocryptos,Leucocryptos
Eukaryota,Basidiomycota,Microbotryomycetes,Kriegeriales,Camptobasidiaceae,Glaciozyma,Glaciozyma
Eukaryota,Labyrinthulomycetes,Labyrinthulomycetes_cl,Labyrinthulomycetes_or,Thraustochytriaceae,Thraustochytriaceae,Thraustochytriaceae
Eukaryota,Labyrinthulomycetes,Labyrinthulomycetes_cl,Labyrinthulomycetes_or,Thraustochytriaceae,Thraustochytrium,Thraustochytrium
Eukaryota,Ochrophyta,Phaeophyceae,Laminariales,Laminariales_fa,Lessonia,Lessonia
Eukaryota,Phragmoplastophyta,Embryophyta,Liliopsida,Asparagales_fa,Allium,Allium
Eukaryota,Phragmoplastophyta,Embryophyta,Liliopsida,Incertae_Sedis_fa,Zostera,Zostera
Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Haptoria,Hemiophrys,Hemiophrys
Eukaryota,Chytridiomycota,Incertae_Sedis,Lobulomycetales,Lobulomycetaceae,Lobulomyces,Lobulomyces
Eukaryota,Chytridiomycota,Incertae_Sedis,Lobulomycetales,Lobulomycetaceae,Lobulomycetaceae,Lobulomycetaceae
Eukaryota,Vertebrata,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia
Eukaryota,Cercozoa,Imbricatea,Marimonadida,Marimonadida_fa,Pseudopirsonia,Pseudopirsonia
Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,Marine_Group_II,Marine_Group_II,Marine_Group_II
Eukaryota,Arthropoda,Maxillopoda,Maxillopoda,Maxillopoda,Maxillopoda,Maxillopoda
Eukaryota,Euglenozoa,Kinetoplastea,Metakinetoplastina,Neobodonida,Neobodo,Neobodo
Eukaryota,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Corollospora,Corollospora
Eukaryota,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca
Eukaryota,Rotifera,Monogononta,Monogononta,Monogononta,Monogononta,Monogononta
Eukaryota,Nemertea,Enopla,Monostilifera,Monostilifera,Monostilifera,Monostilifera
Eukaryota,Mucoromycota,Incertae_Sedis,Mucorales,Cunninghamellaceae,Absidia,Absidia
Eukaryota,Mollusca,Bivalvia,Myoida,Myoida,Myoida,Myoida
Eukaryota,Mollusca,Bivalvia,Mytiloida,Mytiloida,Mytiloida,Mytiloida
Eukaryota,Florideophycidae,Nemaliophycidae,Nemaliophycidae_or,Nemaliophycidae_fa,Audouinella,Audouinella
Eukaryota,Florideophycidae,Nemaliophycidae,Nemaliophycidae_or,Nemaliophycidae_fa,Colaconema,Colaconema
Eukaryota,Florideophycidae,Nemaliophycidae,Nemaliophycidae_or,Nemaliophycidae_fa,Nemaliophycidae_fa,Nemaliophycidae_fa
Eukaryota,Florideophycidae,Nemaliophycidae,Nemaliophycidae_or,Nemaliophycidae_fa,Rhodophysema,Rhodophysema
Eukaryota,Nematoda,Nematoda,Nematoda,Nematoda,Nematoda,Nematoda
Eukaryota,Mollusca,Polyplacophora,Neoloricata,Neoloricata,Neoloricata,Neoloricata
Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopelagicus,Candidatus_Nitrosopelagicus
Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,Candidatus_Nitrosopumilus
Eukaryota,Ochrophyta,Chrysophyceae,Ochromonadales,Ochromonadales_fa,Paraphysomonas,Paraphysomonas
Eukaryota,Ochrophyta,Ochrophyta,Ochrophyta,Ochrophyta,Ochrophyta,Ochrophyta
Eukaryota,Ochrophyta,Ochrophyta_cl,Ochrophyta_or,Ochrophyta_fa,Bolidomonas,Bolidomonas
Eukaryota,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellales_fa,Pteridomonas,Pteridomonas
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniphycidae,Peridiniales,Heterocapsa,Heterocapsa
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniphycidae,Peridiniphycidae,Peridiniphycidae,Peridiniphycidae
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniphycidae,Thoracosphaeraceae,Scrippsiella,Scrippsiella
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniphycidae,Thoracosphaeraceae,Thoracosphaeraceae,Thoracosphaeraceae
Eukaryota,Peronosporomycetes,Peronosporomycetes_cl,Peronosporomycetes_or,Peronosporomycetes_fa,Atkinsiella,Atkinsiella
Eukaryota,Peronosporomycetes,Peronosporomycetes_cl,Peronosporomycetes_or,Peronosporomycetes_fa,Lagenidium,Lagenidium
Eukaryota,Peronosporomycetes,Peronosporomycetes_cl,Peronosporomycetes_or,Peronosporomycetes_fa,Peronosporomycetes_fa,Peronosporomycetes_fa
Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza
Eukaryota,Ochrophyta,Phaeophyceae,Phaeophyceae,Phaeophyceae,Phaeophyceae,Phaeophyceae
Eukaryota,Annelida,Polychaeta,Phyllodocida,Phyllodocida,Phyllodocida,Phyllodocida
Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Cucurbitariaceae,Cucurbitariaceae
Eukaryota,Rotifera,Monogononta,Ploimida,Ploimida,Ploimida,Ploimida
Eukaryota,Arthropoda,Ostracoda,Podocopida,Podocopida,Podocopida,Podocopida
Eukaryota,Annelida,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta
Eukaryota,Chlorophyta_ph,Trebouxiophyceae,Prasiolales,Prasiolales_fa,Stichococcus,Stichococcus
Eukaryota,Ichthyosporea,Ichthyophonae,Pseudoperkinsidae,Pseudoperkinsidae_fa,Creolimax,Creolimax
Eukaryota,Platyhelminthes,Rhabditophora,Rhabdocoela,Rhabdocoela,Rhabdocoela,Rhabdocoela
Eukaryota,Florideophycidae,Rhodymeniophycidae,Rhodymeniophycidae,Rhodymeniophycidae,Rhodymeniophycidae,Rhodymeniophycidae
Eukaryota,Florideophycidae,Rhodymeniophycidae,Rhodymeniophycidae_or,Rhodymeniophycidae_fa,Antithamnion,Antithamnion
Eukaryota,Florideophycidae,Rhodymeniophycidae,Rhodymeniophycidae_or,Rhodymeniophycidae_fa,Harveyella,Harveyella
Eukaryota,Florideophycidae,Rhodymeniophycidae,Rhodymeniophycidae_or,Rhodymeniophycidae_fa,Odonthalia,Odonthalia
Eukaryota,Florideophycidae,Rhodymeniophycidae,Rhodymeniophycidae_or,Rhodymeniophycidae_fa,Phycodrys,Phycodrys
Eukaryota,Florideophycidae,Rhodymeniophycidae,Rhodymeniophycidae_or,Rhodymeniophycidae_fa,Polysiphonia,Polysiphonia
Eukaryota,Florideophycidae,Rhodymeniophycidae,Rhodymeniophycidae_or,Rhodymeniophycidae_fa,Rhodomela,Rhodomela
Eukaryota,Florideophycidae,Rhodymeniophycidae,Rhodymeniophycidae_or,Rhodymeniophycidae_fa,Rhodymeniophycidae_fa,Rhodymeniophycidae_fa
Eukaryota,Phragmoplastophyta,Embryophyta,Rosales,Rosales_fa,Cannabis,Cannabis
Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces
Eukaryota,Ochrophyta,Pelagophyceae,Sarcinochrysidales,Sarcinochrysidales_fa,Sarcinochrysis,Sarcinochrysis
Eukaryota,Phragmoplastophyta,Embryophyta,Solanales,Solanales_fa,Nicotiana,Nicotiana
Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Holosticha,Holosticha
Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Omegastrombidium,Omegastrombidium
Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Spirotrichea,Spirotrichea,Spirotrichea
Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Strombidium,Strombidium
Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Tintinnopsis,Tintinnopsis
Eukaryota,Protalveolata,Syndiniales,Syndiniales_or,Syndiniales_fa,Amoebophrya,Amoebophrya
Eukaryota,Protalveolata,Syndiniales,Syndiniales_or,Syndiniales_Group_I,Syndiniales_Group_I,Syndiniales_Group_I
Eukaryota,Annelida,Polychaeta,Terebellida,Terebellida,Terebellida,Terebellida
Eukaryota,Chlorophyta_ph,Trebouxiophyceae,Trebouxiophyceae,Trebouxiophyceae,Trebouxiophyceae,Trebouxiophyceae
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulotrichales,Ulotrichales_fa,Acrosiphonia,Acrosiphonia
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulotrichales,Ulotrichales_fa,Ulotrichales_fa,Ulotrichales_fa
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulvales,Ulvales_fa,Bolbocoleon,Bolbocoleon
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulvales,Ulvales_fa,Pseudendoclonium,Pseudendoclonium
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulvales,Ulvales_fa,Ulva,Ulva
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulvales,Ulvales_fa,Ulvales_fa,Ulvales_fa
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulvales,Ulvales_fa,Ulvella,Ulvella
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulvophyceae,Ulvophyceae,Ulvophyceae,Ulvophyceae
Eukaryota,Mollusca,Bivalvia,Veneroida,Veneroida,Veneroida,Veneroida
Eukaryota,Mollusca,Gastropoda,Vetigastropoda,Vetigastropoda,Vetigastropoda,Vetigastropoda
