Domain,Kingdom,Subkingdom,Phylum,Class,Order,SubOrder,Genus,Species,InBioBlitz,InSeagrass,InMark
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthales,Achnanthales,Achnanthales,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthales,Achnanthidium,Achnanthidium,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_abludens,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_beaufortiana,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_helenensis,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_lineolata,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_sublaevis,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_sulcata,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_vixvisibilis,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Asterolamprales,Asterolamprales,Asteromphalus,Asteromphalus_sp.,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotales,Attheya,Attheya_decora,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscales,Aulacodiscus,Aulacodiscus_oreganus,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Bacillariales,Bacillariales,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyta,Bacillariophyta,Bacillariophyta,Bacillariophyta,Bacillariophyta,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Berkeleya,Berkeleya,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Berkeleya,Berkeleya_fennica,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Caloneis,Caloneis_sp.,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulales,Cerataulina,Cerataulina_pelagica,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotales,Chaetoceros,Chaetoceros,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotales,Chaetoceros,Chaetoceros_contortus,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotales,Chaetoceros,Chaetoceros_debilis,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotales,Chaetoceros,Chaetoceros_diadema,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotales,Chaetoceros,Chaetoceros_lorenzianus,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthales,Cocconeis,Cocconeis,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscophyceae,Coscinodiscophyceae,Coscinodiscophyceae,Coscinodiscophyceae,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscales,Coscinodiscus,Coscinodiscus_granii,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscales,Coscinodiscus,Coscinodiscus_radiatus,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Cyclotella,Cyclotella_choctawhatcheeana,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Cyclotella,Cyclotella_stylorum,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Cylindrotheca,Cylindrotheca,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Cylindrotheca,Cylindrotheca_closterium,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Cylindrotheca,Cylindrotheca_sp.,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellales,Cymbellales,Cymbellales,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Detonula,Detonula_pumila,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Diploneis,Diploneis,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Paraliales,Paraliales,Ellerbeckia,Ellerbeckia_sp.,y,y,y
Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosirales,Extubocellulus,Extubocellulus_cribriger,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosirales,Extubocellulus,Extubocellulus_spinifer,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Fallacia,Fallacia,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Fallacia,Fallacia_forcipata,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Fragilariales,Fragilariales,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariophyceae,Fragilariophyceae,Fragilariophyceae,Fragilariophyceae,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Gedaniella,Gedaniella,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Gedaniella,Gedaniella_boltonii,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Gedaniella,Gedaniella_panicellus,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellales,Gomphonemopsis,Gomphonemopsis_pseudoexigua,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniales,Guinardia,Guinardia_delicatula,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Gyrosigma,Gyrosigma_limosum,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Halamphora,Halamphora,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Haslea,Haslea,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Haslea,Haslea_howeana,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Haslea,Haslea_pseudostrearia,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosirales,Hyalodiscus,Hyalodiscus_scoticus,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosirales,Hyalodiscus,Hyalodiscus_sp.,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Lauderia,Lauderia_annulata,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Leptocylindrales,Leptocylindrales,Leptocylindrus,Leptocylindrus_danicus,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Licmophorales,Licmophorales,Licmophora,Licmophora,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Licmophorales,Licmophorales,Licmophora,Licmophora_paradoxa,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Licmophorales,Licmophorales,Licmophora,Licmophora_sp.,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Lyrellales,Lyrellales,Lyrella,Lyrella_hennedyi,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Mediophyceae,Mediophyceae,Mediophyceae,Mediophyceae,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Minidiscus,Minidiscus_trioculatus,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Nanofrustulum,Nanofrustulum_shiloi,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_agatkae,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_avium,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_cari,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_glaciei,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_hippodontafallax,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_kongfjordensis,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_perminuta,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_pseudacceptata,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_ramosissima,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_reinhardtii,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_rhynchocephala_var._hankensis,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_rhynchotella,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_slesvicensis,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Navicula,Navicula_sp.,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Naviculales,Naviculales,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_adhaerens,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_capitellata,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_draveillensis,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_dubia,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_dubiiformis,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_inconspicua,y,n,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_laevis,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_nanodissipata,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_promare,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_recta,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_sigma,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_sigmoidea,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_sp.,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_spathulata,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_traheaformis,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_volvendirostrata,y,y,y
Eukaryota,Sar,Stramenopiles,Ochrophyta,Ochrophyta,Ochrophyta,Ochrophyta,Ochrophyta,Ochrophyta,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Triceratiales,Triceratiales,Odontella,Odontella_aurita,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Triceratiales,Triceratiales,Odontella,Odontella_longicruris,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Parlibellus,Parlibellus,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Parlibellus,Parlibellus_delognei_f._ellipticus,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Parlibellus,Parlibellus_hamulifer,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Parlibellus,Parlibellus_protracta,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthales,Pauliella,Pauliella_taeniata,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Pinnularia,Pinnularia,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthales,Planothidium,Planothidium,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Pleurosigma,Pleurosigma,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Pleurosigma,Pleurosigma_sp.,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Proschkinia,Proschkinia_complanatula,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Pseudogomphonema,Pseudogomphonema_kamschaticum,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniales,Rhizosolenia,Rhizosolenia_setigera,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Rhoikoneis,Rhoikoneis_pagoensis,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Seminavis,Seminavis_robusta,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Seminavis,Seminavis_sp.,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Serratifera,Serratifera,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Serratifera,Serratifera_andersonii,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Shionodiscus,Shionodiscus_ritscheri,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Skeletonema,Skeletonema_costatum,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Staurosira,Staurosira_construens,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Sternimirus,Sternimirus_shandongensis,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Tabularia,Tabularia,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariales,Tabularia,Tabularia_tabulata,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Thalassiophysales,Thalassiophysales,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_angulata,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_anguste-lineata,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_antarctica,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_eccentrica,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_gravida,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_minima,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_minuscula,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_nordenskioeldii,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_oceanica,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_pacifica,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_profunda,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_punctigera,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_rotula,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosira,Thalassiosira_spinulifera,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Thalassiosirales,Thalassiosirales,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Trachyneis,Trachyneis_sp.,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Triceratiales,Triceratiales,Triceratiales,Triceratiales,y,n,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Tryblionella,Tryblionella_apiculata,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Tryblionella,Tryblionella_gaoana,y,y,y
