plot_colors,genus
royalblue2,Naviculales;Navicula
darkorange1,Achnanthales;Achnanthales
darkolivegreen4,Bacillariales;Cylindrotheca
darkred,Thalassiosirales;Thalassiosirales
olivedrab3,Bacillariales;Nitzschia
firebrick2,Thalassiosirales;Minidiscus
steelblue1,Naviculales;Pseudogomphonema
indianred1,Thalassiosiriales;Thalassiosira
deepskyblue1,Naviculales;Haslea
darkviolet,Tricertiales;Odontella
darkorange3,Achnanthales;Cocconeis
limegreen,Bacillariales;Bacillariales
pink1,Licmophorales;Tabularia
turquoise2,Naviculales;Pleurosigma
tan3,Fragilariales;Tabularia
cadetblue1,Naviculales;Halamphora
yellow3,Chaetocerotales;Chaetoceros
darksalmon,Thalassiophysales;Amphora
orangered3,Thalassiosirales;Skeletonema
blue3,Bacillariophyceae;Bacillariophyceae
cornflowerblue,Naviculales;Naviculales
grey90,Others